step,return_Ra,return_Rb,return_Rc
0,149.75,0.65,-482.95
10000,122.3,0.6,-350.6
20000,55.85,0.25,-753.25
30000,54.7,0.4,-655.3
40000,115.65,0.5,-601.65
50000,73.75,0.6,-419.55
60000,159.35,0.85,-422.7
70000,145.4,0.6,-528.45
80000,413.7,0.7,-450.2
90000,432.9,0.85,-342.35
100000,765.65,0.9,-231.8
110000,584.65,0.95,-266.45
120000,523.0,0.85,-276.4
130000,437.8,0.7,-571.3
140000,681.5,0.8,-204.5
150000,819.0,0.8,-124.25
160000,585.4,0.95,-194.05
170000,700.9,0.85,-125.3
180000,797.5,1.0,-129.45
190000,965.4,0.85,-84.8
200000,969.65,0.95,-126.05
210000,874.2,1.0,-76.4
220000,978.15,1.0,-25.85
230000,873.2,1.0,-30.4
240000,973.0,0.95,-72.6
250000,780.25,0.95,-125.05
