step,return_Ra,return_Rb,return_Rc
0,174.1,0.6,-87.3
10000,52.35,0.4,-329.4
20000,59.75,0.3,-812.2
30000,78.75,0.25,-509.9
40000,179.2,0.65,-337.05
50000,85.8,0.7,-234.55
60000,106.75,0.7,-300.6
70000,66.15,0.85,-258.85
80000,125.15,0.6,-152.1
90000,327.35,0.65,-382.6
100000,255.3,0.85,-374.85
110000,280.3,0.85,-40.3
120000,391.6,0.85,-89.8
130000,342.5,0.85,-186.85
140000,351.0,0.85,-127.95
150000,565.9,0.9,-42.4
160000,744.95,0.95,-119.35
170000,714.3,0.9,-79.85
180000,579.65,1.0,-25.35
190000,830.1,0.9,-21.2
200000,870.1,1.0,-74.2
210000,865.45,1.0,-25.5
220000,893.45,1.0,-29.15
230000,863.2,1.0,-22.7
240000,827.3,1.0,-18.8
250000,980.45,1.0,-66.3
