step,return_Ra,return_Rb,return_Rc
0,95.8,0.85,-156.65
10000,89.6,0.7,-241.1
20000,53.0,0.5,-565.85
30000,65.6,0.65,-385.95
40000,113.8,0.5,-663.4
50000,58.05,0.6,-562.65
60000,50.05,0.65,-663.2
70000,337.0,0.35,-420.75
80000,339.0,0.65,-372.55
90000,290.9,0.6,-328.65
100000,668.9,0.75,-276.65
110000,686.95,0.65,-124.9
120000,691.3,0.65,-270.9
130000,726.35,0.8,-269.35
140000,726.65,0.85,-218.2
150000,921.95,0.95,-128.2
160000,825.75,0.95,-229.4
170000,833.95,0.95,-217.7
180000,878.7,0.95,-27.05
190000,931.6,0.85,-121.2
200000,840.15,1.0,-179.6
210000,926.05,0.85,-118.4
220000,879.35,1.0,-69.9
230000,923.75,1.0,-169.2
240000,877.95,0.95,-171.55
250000,928.5,0.9,-21.25
