step,return_Ra,return_Rb,return_Rc
0,141.0,0.7,-710.85
10000,76.3,0.75,-509.7
20000,91.65,0.35,-618.95
30000,109.05,0.3,-522.8
40000,61.75,0.4,-525.85
50000,248.2,0.7,-371.15
60000,504.8,0.65,-180.25
70000,231.8,0.65,-203.1
80000,494.2,0.9,-587.4
90000,554.05,0.8,-246.1
100000,544.7,0.85,-281.8
110000,490.7,0.75,-269.5
120000,684.25,0.9,-128.95
130000,588.95,0.85,-89.15
140000,583.65,0.85,-222.05
150000,726.6,0.85,-177.95
160000,916.9,1.0,-35.8
170000,779.75,0.95,-28.0
180000,969.0,0.95,-31.45
190000,920.4,0.85,-80.4
200000,916.85,0.85,-35.45
210000,922.95,0.95,-77.0
220000,921.3,1.0,-75.8
230000,926.5,1.0,-26.45
240000,969.25,1.0,-80.25
250000,975.65,1.0,-31.5
