step,return_Ra,return_Rb,return_Rc
0,78.65,0.45,-606.4
10000,61.7,0.55,-622.2
20000,22.5,0.15,-702.35
30000,127.8,0.55,-602.7
40000,55.8,0.5,-564.9
50000,116.6,0.55,-500.5
60000,68.65,0.75,-235.5
70000,32.5,0.65,-481.7
80000,134.3,0.65,-327.6
90000,108.75,0.65,-230.65
100000,107.75,0.85,-268.85
110000,79.45,1.0,-115.55
120000,74.15,0.95,-167.2
130000,99.9,0.9,-166.8
140000,105.85,0.9,-335.05
150000,92.6,0.9,-253.8
160000,93.3,0.75,-233.75
170000,150.8,0.75,-179.35
180000,309.25,0.85,-140.35
190000,510.1,0.95,-87.15
200000,691.25,1.0,-74.6
210000,635.6,1.0,-70.85
220000,789.7,1.0,-117.9
230000,666.1,0.95,-21.7
240000,750.55,0.9,-165.45
250000,955.25,1.0,-64.05
