step,return_Ra,return_Rb,return_Rc
0,104.8,0.75,-475.55
10000,46.9,0.4,-241.45
20000,107.95,0.75,-384.7
30000,11.35,0.4,-568.45
40000,83.7,0.5,-508.9
50000,84.4,0.3,-580.85
60000,91.85,0.45,-666.25
70000,97.8,0.2,-507.05
80000,196.85,0.65,-670.6
90000,228.0,0.45,-479.6
100000,565.45,0.45,-464.6
110000,535.5,0.7,-421.25
120000,724.15,0.7,-316.2
130000,501.35,0.65,-178.85
140000,435.95,0.7,-127.7
150000,630.6,0.65,-137.8
160000,588.8,0.75,-321.1
170000,912.15,0.75,-293.15
180000,875.2,0.85,-228.75
190000,822.15,0.85,-176.0
200000,822.6,0.85,-418.0
210000,875.95,0.9,-225.2
220000,775.8,0.8,-25.3
230000,718.8,0.85,-82.75
240000,831.15,0.75,-223.45
250000,818.55,0.85,-177.8
