step,return_Ra,return_Rb,return_Rc
0,131.5,0.8,-437.65
10000,108.6,1.0,-142.75
20000,40.25,0.2,-619.7
30000,81.85,0.45,-621.8
40000,197.45,0.7,-628.3
50000,321.85,0.4,-377.25
60000,697.4,0.8,-135.1
70000,801.95,0.85,-280.8
80000,578.85,0.85,-274.2
90000,637.4,0.75,-175.2
100000,684.35,0.95,-26.05
110000,857.1,0.9,-33.25
120000,922.3,1.0,-35.1
130000,922.25,1.0,-32.65
140000,869.1,0.95,-32.0
150000,920.2,0.9,-174.6
160000,918.5,0.9,-174.3
170000,921.6,1.0,-23.75
180000,970.25,0.95,-24.7
190000,926.15,0.95,-24.55
200000,925.8,1.0,-26.4
210000,977.1,0.95,-30.65
220000,976.5,1.0,-77.95
230000,960.4,0.95,-121.85
240000,930.0,1.0,-23.25
250000,772.7,1.0,-27.95
