step,return_Ra,return_Rb,return_Rc
0,32.5,0.6,-657.45
10000,47.7,0.05,-650.75
20000,60.95,0.4,-515.9
30000,72.65,0.6,-630.75
40000,26.65,0.4,-738.65
50000,18.0,0.45,-344.35
60000,67.55,0.55,-410.0
70000,114.05,0.3,-530.4
80000,147.95,0.6,-484.95
90000,123.1,0.65,-385.8
100000,175.7,0.6,-385.85
110000,166.3,0.75,-123.5
120000,308.75,0.9,-180.75
130000,342.6,0.9,-137.2
140000,449.95,0.9,-126.55
150000,597.25,0.8,-120.0
160000,840.35,1.0,-78.1
170000,751.05,1.0,-23.8
180000,758.15,1.0,-24.95
190000,707.15,0.95,-73.55
200000,760.3,1.0,-22.65
210000,891.25,1.0,-19.3
220000,837.35,1.0,-19.55
230000,951.2,1.0,-22.15
240000,979.5,1.0,-17.5
250000,889.65,1.0,-22.35
