step,return_Ra,return_Rb,return_Rc
0,111.15,0.35,-659.6
10000,120.45,0.55,-747.35
20000,193.1,0.3,-803.3
30000,52.5,0.2,-775.5
40000,153.75,0.45,-543.25
50000,345.25,0.35,-283.5
60000,381.7,0.6,-334.25
70000,104.45,0.45,-561.65
80000,433.1,0.4,-410.35
90000,488.9,0.65,-130.05
100000,540.5,0.85,-218.6
110000,731.45,0.85,-222.45
120000,586.75,0.7,-270.5
130000,727.5,0.7,-122.6
140000,732.7,0.55,-28.65
150000,488.6,0.8,-317.75
160000,493.9,0.5,-178.2
170000,830.9,0.9,-179.75
180000,791.7,1.0,-69.9
190000,925.3,0.9,-125.3
200000,732.2,1.0,-33.7
210000,972.0,1.0,-71.85
220000,737.0,0.85,-18.55
230000,874.0,0.95,-68.95
240000,613.35,0.95,-28.9
250000,744.1,0.8,-119.0
