step,return_Ra,return_Rb,return_Rc
0,105.85,0.6,-235.45
10000,45.9,0.95,-148.45
20000,100.0,0.55,-587.05
30000,51.45,0.25,-618.6
40000,59.05,0.5,-530.55
50000,144.5,0.45,-448.35
60000,30.05,0.5,-449.15
70000,92.4,0.55,-578.85
80000,64.0,0.45,-379.8
90000,96.05,0.8,-442.9
100000,81.35,0.75,-138.85
110000,219.8,0.9,-147.45
120000,230.55,1.0,-92.6
130000,277.65,0.95,-134.45
140000,579.85,0.9,-32.25
150000,462.25,0.95,-31.25
160000,836.55,0.85,-130.5
170000,927.9,0.9,-20.3
180000,673.6,1.0,-22.45
190000,938.45,1.0,-22.25
200000,841.9,1.0,-18.15
210000,926.55,1.0,-18.85
220000,887.65,1.0,-15.9
230000,968.25,1.0,-12.8
240000,977.6,1.0,-13.5
250000,983.1,1.0,-19.35
