step,return_Ra,return_Rb,return_Rc
0,13.4,0.5,-730.55
10000,175.6,0.25,-460.05
20000,17.0,0.35,-618.8
30000,276.7,0.75,-556.1
40000,200.85,0.9,-393.2
50000,248.1,0.45,-425.0
60000,363.6,0.7,-393.5
70000,414.3,0.55,-337.15
80000,536.2,0.55,-355.5
90000,494.6,0.6,-294.45
100000,739.0,0.8,-140.55
110000,846.6,0.9,-163.65
120000,684.15,0.9,-228.95
130000,861.95,0.9,-78.7
140000,954.45,0.95,-47.8
150000,860.85,1.0,-38.3
160000,945.9,1.0,-101.6
170000,767.25,1.0,-43.6
180000,912.55,0.9,-86.95
190000,966.55,0.95,-225.0
200000,972.55,0.9,-128.35
210000,872.5,1.0,-229.55
220000,775.05,0.9,-33.2
230000,966.7,1.0,-82.9
240000,925.7,0.95,-82.15
250000,921.9,0.95,-86.4
