step,return_Ra,return_Rb,return_Rc
0,95.75,0.5,-468.1
10000,82.8,0.75,-389.5
20000,94.05,0.9,-224.35
30000,137.65,0.5,-541.9
40000,106.5,0.25,-471.4
50000,232.0,0.4,-721.05
60000,196.7,0.65,-261.35
70000,54.9,0.75,-357.25
80000,176.3,0.85,-428.2
90000,148.15,0.7,-284.3
100000,253.4,0.65,-346.65
110000,144.35,0.9,-254.15
120000,345.15,0.7,-309.55
130000,545.05,0.95,-32.4
140000,767.1,0.95,-101.25
150000,751.1,1.0,-27.55
160000,881.95,1.0,-23.0
170000,620.55,1.0,-124.1
180000,770.55,1.0,-20.65
190000,764.0,1.0,-19.8
200000,720.3,1.0,-26.1
210000,741.7,1.0,-21.05
220000,937.85,1.0,-22.0
230000,963.85,1.0,-16.75
240000,782.4,1.0,-18.65
250000,933.85,1.0,-18.85
