step,return_Ra,return_Rb,return_Rc
0,55.75,0.55,-707.4
10000,62.5,0.25,-715.35
20000,42.0,0.5,-487.0
30000,43.15,0.5,-521.25
40000,72.85,0.3,-624.65
50000,96.65,0.4,-615.8
60000,53.8,0.35,-492.35
70000,63.3,0.6,-682.15
80000,48.35,0.4,-463.95
90000,74.8,0.4,-664.95
100000,74.45,0.75,-586.25
110000,122.65,0.6,-479.4
120000,128.9,0.75,-348.15
130000,37.4,0.4,-323.05
140000,155.35,0.8,-421.7
150000,335.05,0.75,-390.35
160000,538.1,0.9,-74.45
170000,654.95,0.8,-127.5
180000,718.0,0.95,-123.5
190000,677.7,1.0,-117.45
200000,826.85,1.0,-17.45
210000,944.7,1.0,-18.05
220000,986.7,1.0,-18.7
230000,979.25,1.0,-18.7
240000,912.35,1.0,-18.45
250000,789.05,1.0,-14.8
