step,return_Ra,return_Rb,return_Rc
0,100.15,0.65,-474.8
10000,90.5,0.55,-285.5
20000,57.5,0.4,-539.4
30000,12.8,0.3,-710.45
40000,118.75,0.7,-382.8
50000,48.1,0.9,-368.2
60000,85.05,0.7,-253.5
70000,64.65,0.85,-216.3
80000,74.8,1.0,-110.85
90000,73.4,0.9,-234.1
100000,74.85,0.9,-274.0
110000,87.65,0.85,-284.1
120000,282.95,0.9,-326.9
130000,219.65,0.95,-137.45
140000,252.05,0.8,-179.05
150000,579.3,0.85,-122.6
160000,574.85,0.85,-141.85
170000,552.15,1.0,-23.9
180000,722.6,0.95,-18.6
190000,588.5,0.95,-16.95
200000,828.2,1.0,-29.15
210000,822.8,1.0,-25.45
220000,745.4,1.0,-17.95
230000,844.65,1.0,-21.05
240000,896.55,1.0,-64.75
250000,844.6,1.0,-20.95
