step,return_Ra,return_Rb,return_Rc
0,104.15,0.4,-518.75
10000,77.5,1.0,-193.05
20000,176.75,0.2,-712.55
30000,63.05,0.6,-710.9
40000,37.55,0.65,-700.5
50000,95.95,0.7,-589.8
60000,54.25,0.3,-607.15
70000,134.7,0.7,-431.8
80000,128.45,0.4,-491.7
90000,75.5,0.85,-486.95
100000,127.3,0.6,-409.9
110000,55.5,0.8,-475.65
120000,37.4,0.7,-459.1
130000,39.5,0.8,-374.3
140000,164.35,0.75,-292.3
150000,536.55,0.95,-145.9
160000,693.95,0.9,-127.65
170000,690.75,0.9,-24.2
180000,751.35,1.0,-21.8
190000,969.9,1.0,-22.15
200000,885.15,1.0,-20.6
210000,889.2,1.0,-19.1
220000,984.2,1.0,-21.2
230000,886.35,1.0,-18.0
240000,912.0,1.0,-16.2
250000,861.2,1.0,-15.5
