step,return_Ra,return_Rb,return_Rc
0,31.55,0.45,-697.05
10000,45.25,0.25,-804.3
20000,163.55,0.3,-631.5
30000,115.7,0.4,-628.6
40000,240.8,0.5,-441.0
50000,127.95,0.25,-395.35
60000,376.9,0.35,-281.05
70000,599.85,0.65,-323.75
80000,483.45,0.85,-191.9
90000,816.15,0.9,-177.55
100000,914.9,0.95,-81.25
110000,780.95,0.85,-127.3
120000,919.55,1.0,-165.85
130000,918.4,0.85,-121.5
140000,959.15,1.0,-27.0
150000,975.05,0.95,-79.3
160000,965.1,1.0,-80.65
170000,965.65,0.9,-74.55
180000,931.8,1.0,-30.35
190000,918.9,1.0,-29.55
200000,966.5,0.95,-26.2
210000,875.25,0.95,-39.1
220000,837.4,0.95,-23.4
230000,829.6,1.0,-76.9
240000,880.3,0.85,-75.5
250000,879.35,0.9,-74.45
