step,return_Ra,return_Rb,return_Rc
0,121.65,0.45,-571.5
10000,40.85,0.3,-537.4
20000,13.75,0.55,-589.75
30000,187.2,0.45,-670.6
40000,89.6,0.35,-578.75
50000,26.5,0.45,-488.0
60000,45.45,0.4,-538.55
70000,212.55,0.6,-651.3
80000,72.3,0.55,-417.65
90000,125.4,0.45,-252.45
100000,66.45,0.25,-662.8
110000,43.8,0.45,-475.85
120000,104.85,0.65,-538.2
130000,320.15,0.8,-149.6
140000,350.85,0.95,-328.75
150000,713.1,0.9,-177.3
160000,668.95,0.95,-82.05
170000,675.75,1.0,-66.7
180000,635.55,1.0,-28.5
190000,787.15,1.0,-19.05
200000,757.95,0.95,-70.4
210000,898.05,1.0,-15.7
220000,928.1,1.0,-65.45
230000,968.4,1.0,-16.7
240000,970.65,1.0,-18.55
250000,904.25,1.0,-17.6
