step,return_Ra,return_Rb,return_Rc
0,78.35,0.55,-336.35
10000,51.2,0.65,-283.9
20000,34.9,0.5,-810.15
30000,160.2,0.3,-572.45
40000,49.6,0.45,-803.4
50000,105.9,0.5,-685.8
60000,98.65,0.95,-342.25
70000,106.75,0.8,-435.0
80000,53.65,0.65,-473.0
90000,74.05,1.0,-110.7
100000,45.5,0.9,-405.0
110000,170.2,0.75,-386.0
120000,106.75,0.85,-300.3
130000,255.4,0.8,-108.8
140000,508.9,1.0,-136.05
150000,718.05,1.0,-26.2
160000,829.1,1.0,-68.7
170000,667.6,1.0,-67.65
180000,867.1,0.95,-19.7
190000,885.6,1.0,-21.1
200000,876.45,1.0,-16.6
210000,965.0,1.0,-22.35
220000,981.0,1.0,-13.2
230000,905.0,1.0,-12.55
240000,920.6,1.0,-17.65
250000,970.95,1.0,-18.0
