step,return_Ra,return_Rb,return_Rc
0,74.45,0.85,-351.15
10000,66.25,0.6,-179.7
20000,43.25,0.35,-913.85
30000,52.05,0.9,-386.15
40000,96.3,0.45,-443.05
50000,219.85,0.65,-275.4
60000,238.5,0.6,-477.45
70000,275.4,0.7,-472.85
80000,449.15,0.75,-354.15
90000,500.1,0.7,-367.7
100000,501.8,0.85,-139.65
110000,572.0,1.0,-92.15
120000,686.25,0.95,-88.2
130000,409.3,0.9,-177.05
140000,832.75,1.0,-29.05
150000,553.55,1.0,-18.6
160000,915.95,0.95,-25.05
170000,948.6,1.0,-22.4
180000,888.4,1.0,-21.65
190000,902.0,1.0,-22.7
200000,882.0,1.0,-26.0
210000,805.7,0.95,-22.05
220000,854.9,1.0,-19.0
230000,938.6,1.0,-14.6
240000,984.7,1.0,-16.85
250000,955.9,1.0,-14.55
