step,return_Ra,return_Rb,return_Rc
0,60.55,0.65,-423.95
10000,150.3,1.0,-298.95
20000,70.6,0.4,-709.1
30000,123.2,0.75,-413.05
40000,108.95,0.45,-480.1
50000,83.5,1.0,-105.95
60000,93.15,0.8,-402.15
70000,79.8,0.6,-209.75
80000,117.15,0.8,-287.35
90000,202.55,0.9,-146.65
100000,261.8,0.85,-188.05
110000,221.1,0.95,-287.55
120000,385.3,0.85,-133.9
130000,429.5,1.0,-132.8
140000,289.25,0.85,-69.3
150000,644.8,0.95,-73.2
160000,820.45,1.0,-24.05
170000,824.3,0.95,-76.75
180000,720.15,1.0,-72.35
190000,830.6,1.0,-23.4
200000,834.15,1.0,-15.55
210000,906.35,0.95,-21.35
220000,815.4,1.0,-23.2
230000,980.65,1.0,-16.3
240000,982.3,1.0,-21.1
250000,912.35,1.0,-25.35
