step,return_Ra,return_Rb,return_Rc
0,127.35,0.7,-361.05
10000,119.45,0.45,-313.85
20000,80.65,1.0,-220.75
30000,83.5,0.75,-339.1
40000,52.0,0.7,-426.95
50000,63.95,0.7,-299.5
60000,138.6,0.8,-278.35
70000,100.85,0.85,-341.1
80000,41.75,0.75,-269.1
90000,111.15,1.0,-107.15
100000,463.45,1.0,-74.4
110000,468.4,0.75,-147.7
120000,597.75,0.95,-94.0
130000,602.3,1.0,-24.95
140000,685.05,1.0,-34.45
150000,763.8,1.0,-67.5
160000,743.7,1.0,-68.55
170000,887.05,1.0,-15.9
180000,841.9,1.0,-19.8
190000,855.7,1.0,-21.1
200000,882.85,1.0,-18.25
210000,908.05,1.0,-23.1
220000,837.6,1.0,-18.8
230000,944.3,1.0,-19.35
240000,861.4,1.0,-15.2
250000,921.2,1.0,-16.95
