step,return_Ra,return_Rb,return_Rc
0,174.45,0.15,-522.7
10000,69.55,0.45,-912.7
20000,50.25,0.25,-684.5
30000,68.2,0.95,-313.9
40000,111.5,0.85,-401.85
50000,84.3,0.3,-760.85
60000,250.8,0.6,-345.05
70000,124.5,0.7,-322.5
80000,176.1,0.65,-305.5
90000,302.9,0.7,-285.25
100000,213.95,0.7,-239.9
110000,229.1,0.8,-222.75
120000,582.2,0.95,-97.45
130000,594.9,1.0,-83.4
140000,609.3,0.9,-70.95
150000,832.3,1.0,-17.75
160000,826.9,1.0,-25.9
170000,902.65,1.0,-66.5
180000,754.5,1.0,-69.45
190000,972.45,1.0,-17.55
200000,939.45,1.0,-20.5
210000,877.85,1.0,-17.0
220000,951.8,1.0,-13.45
230000,922.0,1.0,-19.5
240000,942.6,1.0,-19.65
250000,954.5,1.0,-21.4
