step,return_Ra,return_Rb,return_Rc
0,95.65,0.5,-367.35
10000,69.35,0.55,-229.3
20000,92.55,0.2,-722.55
30000,56.75,0.25,-618.55
40000,183.15,0.4,-721.7
50000,78.25,0.2,-623.0
60000,15.9,0.45,-522.35
70000,71.65,0.6,-269.35
80000,80.45,0.7,-519.25
90000,84.25,0.55,-527.2
100000,136.5,0.75,-282.6
110000,273.0,0.45,-329.05
120000,393.5,0.75,-341.95
130000,585.2,0.9,-40.9
140000,831.6,0.8,-43.25
150000,690.45,1.0,-78.0
160000,810.85,1.0,-16.15
170000,761.45,1.0,-119.45
180000,978.75,1.0,-23.3
190000,980.55,1.0,-18.3
200000,915.65,0.95,-16.3
210000,930.05,1.0,-64.85
220000,966.05,1.0,-19.85
230000,980.85,1.0,-19.5
240000,939.3,1.0,-19.75
250000,890.9,1.0,-19.15
