step,return_Ra,return_Rb,return_Rc
0,93.95,0.9,-341.5
10000,59.95,0.95,-354.5
20000,33.8,0.8,-651.75
30000,82.35,0.55,-597.4
40000,175.4,0.45,-494.75
50000,238.9,0.3,-606.5
60000,348.4,0.5,-566.5
70000,301.65,0.65,-614.45
80000,625.05,0.5,-212.55
90000,803.45,0.95,-190.1
100000,491.55,0.75,-282.7
110000,724.5,0.95,-332.55
120000,676.0,0.8,-179.35
130000,733.25,0.9,-181.05
140000,818.9,0.9,-80.65
150000,921.35,1.0,-33.2
160000,824.95,0.9,-128.4
170000,965.35,0.95,-82.45
180000,975.9,0.95,-30.5
190000,926.9,1.0,-120.8
200000,873.1,0.9,-27.95
210000,869.15,0.95,-27.15
220000,968.05,1.0,-33.15
230000,867.6,0.9,-29.65
240000,879.65,0.95,-114.85
250000,829.85,0.9,-82.4
