step,return_Ra,return_Rb,return_Rc
0,40.25,0.95,-357.55
10000,93.0,0.9,-231.9
20000,22.8,0.5,-532.8
30000,66.8,0.4,-683.6
40000,135.35,0.75,-491.25
50000,189.55,0.65,-492.2
60000,115.9,0.5,-527.95
70000,138.1,0.9,-411.0
80000,145.2,0.5,-266.6
90000,344.4,0.9,-306.8
100000,379.35,0.95,-144.45
110000,299.45,0.95,-241.25
120000,323.6,0.85,-147.55
130000,497.5,1.0,-140.25
140000,834.75,0.95,-38.95
150000,865.9,1.0,-22.8
160000,814.75,0.9,-125.05
170000,755.7,1.0,-19.05
180000,807.05,1.0,-19.55
190000,882.05,1.0,-17.5
200000,884.55,1.0,-23.9
210000,902.3,1.0,-19.75
220000,910.7,1.0,-22.45
230000,908.1,1.0,-16.8
240000,929.2,1.0,-19.65
250000,981.9,1.0,-16.65
