step,return_Ra,return_Rb,return_Rc
0,67.0,0.6,-385.35
10000,86.3,0.4,-452.4
20000,6.6,0.2,-804.2
30000,61.6,0.15,-815.35
40000,50.95,0.25,-675.25
50000,248.05,0.2,-763.7
60000,18.0,0.5,-641.4
70000,48.3,0.95,-185.4
80000,49.95,0.9,-176.95
90000,107.1,0.55,-197.95
100000,46.35,0.65,-308.2
110000,116.75,0.7,-242.3
120000,495.2,0.8,-96.3
130000,546.95,0.95,-181.6
140000,468.15,0.75,-219.35
150000,674.9,0.85,-72.9
160000,824.55,1.0,-77.3
170000,826.0,0.95,-26.15
180000,825.7,1.0,-17.35
190000,775.1,1.0,-19.55
200000,984.15,0.95,-22.25
210000,965.55,1.0,-18.05
220000,958.8,1.0,-17.7
230000,953.4,1.0,-18.3
240000,986.2,1.0,-17.9
250000,930.1,1.0,-19.9
