step,return_Ra,return_Rb,return_Rc
0,110.25,0.6,-605.25
10000,63.1,0.45,-512.1
20000,11.85,0.3,-522.9
30000,77.1,0.4,-625.75
40000,95.75,0.35,-416.7
50000,108.8,0.6,-685.7
60000,128.55,0.7,-364.85
70000,172.3,0.75,-466.95
80000,132.2,0.95,-215.0
90000,183.3,0.95,-192.9
100000,206.95,0.85,-130.25
110000,612.6,0.95,-227.5
120000,789.5,0.95,-29.5
130000,709.95,1.0,-24.9
140000,855.95,1.0,-22.7
150000,814.55,1.0,-16.75
160000,932.15,1.0,-17.95
170000,928.75,1.0,-25.15
180000,668.25,1.0,-20.45
190000,902.95,0.95,-68.05
200000,892.75,1.0,-17.5
210000,968.45,1.0,-17.2
220000,923.85,1.0,-70.3
230000,963.6,1.0,-20.9
240000,981.4,1.0,-16.55
250000,953.95,1.0,-13.85
