step,return_Ra,return_Rb,return_Rc
0,93.9,0.6,-365.25
10000,30.8,1.0,-115.65
20000,80.15,0.6,-565.4
30000,94.1,0.45,-571.35
40000,64.6,0.7,-385.6
50000,147.5,0.6,-607.05
60000,90.9,0.85,-268.3
70000,196.55,0.8,-423.5
80000,75.4,0.8,-278.0
90000,75.45,0.7,-288.25
100000,312.85,0.85,-141.9
110000,502.05,0.9,-196.95
120000,569.2,0.75,-177.7
130000,401.25,0.9,-270.7
140000,698.6,1.0,-79.8
150000,537.9,0.9,-27.45
160000,734.6,1.0,-27.75
170000,674.7,1.0,-73.35
180000,703.3,0.95,-20.15
190000,912.75,0.95,-19.65
200000,792.45,1.0,-14.5
210000,986.4,1.0,-18.2
220000,947.85,1.0,-19.7
230000,933.25,1.0,-16.9
240000,930.2,1.0,-16.7
250000,907.1,1.0,-66.2
