step,return_Ra,return_Rb,return_Rc
0,55.45,0.7,-426.5
10000,71.0,0.45,-287.1
20000,151.6,0.6,-731.35
30000,38.2,0.5,-626.5
40000,28.95,0.45,-555.1
50000,127.55,0.8,-490.8
60000,35.15,0.6,-552.0
70000,34.75,0.9,-306.35
80000,48.05,0.7,-339.8
90000,34.55,1.0,-197.85
100000,36.65,0.7,-314.0
110000,61.1,0.9,-270.8
120000,222.2,1.0,-99.65
130000,86.75,0.7,-142.7
140000,358.85,0.9,-154.5
150000,491.05,0.95,-188.75
160000,472.45,0.95,-34.1
170000,597.3,0.9,-26.95
180000,687.9,1.0,-71.0
190000,703.8,1.0,-116.1
200000,786.15,1.0,-24.25
210000,827.65,1.0,-18.1
220000,975.65,1.0,-16.25
230000,973.75,0.95,-18.95
240000,755.9,1.0,-20.9
250000,793.4,1.0,-17.65
