step,return_Ra,return_Rb,return_Rc
0,88.8,0.5,-436.6
10000,99.15,0.85,-337.55
20000,16.55,0.45,-634.2
30000,146.05,0.7,-394.6
40000,148.35,0.5,-433.65
50000,366.35,0.45,-424.15
60000,379.0,0.7,-339.15
70000,340.85,0.85,-302.7
80000,817.55,0.7,-235.25
90000,687.55,0.85,-325.8
100000,592.3,0.7,-203.45
110000,534.85,0.65,-225.25
120000,895.35,0.85,-81.9
130000,665.35,0.8,-79.7
140000,809.25,0.85,-135.5
150000,862.8,0.85,-31.6
160000,819.7,0.95,-237.6
170000,966.35,0.9,-80.6
180000,974.4,0.9,-73.6
190000,972.65,0.95,-23.75
200000,962.95,1.0,-44.7
210000,914.25,1.0,-132.65
220000,881.4,1.0,-134.65
230000,932.05,0.95,-31.3
240000,830.8,0.95,-29.25
250000,914.7,1.0,-123.7
