step,return_Ra,return_Rb,return_Rc
0,107.55,0.4,-522.9
10000,145.25,0.6,-401.45
20000,96.6,0.35,-765.8
30000,92.05,0.35,-706.35
40000,148.9,0.25,-519.6
50000,98.5,0.25,-563.0
60000,335.25,0.4,-572.05
70000,386.95,0.8,-278.4
80000,483.3,0.65,-463.8
90000,546.1,0.5,-367.95
100000,517.8,0.65,-473.15
110000,688.1,0.7,-269.5
120000,634.15,0.9,-138.1
130000,636.0,0.8,-273.5
140000,734.65,0.95,-319.6
150000,877.0,0.95,-316.7
160000,819.25,0.8,-77.15
170000,826.65,0.95,-131.6
180000,974.05,0.9,-127.2
190000,872.5,1.0,-75.65
200000,875.75,0.95,-27.95
210000,730.35,0.95,-230.4
220000,882.0,0.85,-21.55
230000,972.75,0.85,-123.4
240000,872.8,0.95,-25.2
250000,928.1,0.95,-23.75
