step,return_Ra,return_Rb,return_Rc
0,56.1,0.9,-284.2
10000,38.15,0.95,-348.05
20000,167.0,0.7,-480.3
30000,14.85,0.2,-717.25
40000,107.2,0.5,-606.25
50000,48.9,0.3,-719.85
60000,86.25,0.7,-384.0
70000,128.85,0.55,-322.35
80000,90.75,0.4,-532.65
90000,67.2,0.5,-818.4
100000,188.95,0.4,-305.8
110000,272.75,0.95,-206.5
120000,379.9,0.9,-280.75
130000,382.5,0.85,-182.95
140000,785.15,0.95,-174.5
150000,942.75,0.85,-67.35
160000,718.15,1.0,-21.65
170000,921.95,1.0,-18.9
180000,907.85,1.0,-16.55
190000,981.0,1.0,-16.9
200000,898.5,1.0,-15.9
210000,830.4,1.0,-16.4
220000,856.0,1.0,-15.65
230000,965.55,1.0,-19.15
240000,930.7,1.0,-15.3
250000,886.55,1.0,-18.55
