step,return_Ra,return_Rb,return_Rc
0,88.2,0.8,-249.15
10000,64.9,1.0,-175.25
20000,194.9,0.25,-553.75
30000,94.1,0.25,-653.2
40000,133.05,0.45,-650.4
50000,19.25,0.3,-538.35
60000,88.05,0.75,-485.2
70000,62.8,1.0,-116.0
80000,139.5,0.8,-324.25
90000,176.7,0.5,-773.85
100000,28.35,0.8,-356.65
110000,257.1,0.95,-164.55
120000,447.0,0.9,-138.95
130000,329.7,0.75,-188.85
140000,617.9,1.0,-33.4
150000,818.55,0.95,-30.55
160000,702.6,1.0,-20.1
170000,694.95,0.95,-20.85
180000,900.2,0.95,-21.05
190000,868.45,1.0,-65.25
200000,916.1,1.0,-66.8
210000,871.6,1.0,-19.0
220000,936.2,1.0,-17.85
230000,821.2,1.0,-15.95
240000,892.2,1.0,-16.4
250000,934.85,1.0,-17.25
