step,return_Ra,return_Rb,return_Rc
0,119.35,0.95,-280.7
10000,33.3,0.45,-534.95
20000,78.9,0.8,-319.95
30000,71.6,0.4,-459.5
40000,50.25,0.6,-503.05
50000,189.45,0.7,-315.65
60000,159.75,1.0,-110.1
70000,39.85,0.95,-166.1
80000,256.7,0.9,-163.7
90000,489.5,0.9,-347.7
100000,479.1,0.85,-207.8
110000,696.2,0.9,-89.95
120000,774.6,0.9,-82.55
130000,558.55,0.9,-82.6
140000,768.1,1.0,-27.5
150000,807.25,1.0,-74.45
160000,897.3,1.0,-36.1
170000,815.8,1.0,-24.4
180000,845.85,0.9,-21.3
190000,912.1,0.95,-18.65
200000,860.65,1.0,-68.4
210000,828.0,1.0,-23.6
220000,943.0,1.0,-18.2
230000,867.0,1.0,-23.95
240000,879.0,1.0,-19.9
250000,937.35,1.0,-17.15
