step,return_Ra,return_Rb,return_Rc
0,41.0,0.45,-380.1
10000,130.95,0.65,-383.3
20000,26.6,0.4,-855.25
30000,26.4,0.25,-610.8
40000,85.15,0.35,-566.35
50000,145.5,0.4,-664.45
60000,129.35,0.5,-563.75
70000,261.2,0.3,-417.65
80000,436.7,0.85,-388.0
90000,240.1,0.6,-429.3
100000,397.65,0.9,-337.8
110000,292.2,0.6,-379.95
120000,675.9,0.8,-281.3
130000,575.85,0.85,-181.65
140000,729.3,0.85,-94.25
150000,853.15,0.95,-79.0
160000,823.5,0.9,-38.35
170000,867.0,0.9,-178.75
180000,870.1,0.9,-77.0
190000,870.7,0.95,-25.65
200000,965.05,1.0,-22.55
210000,962.45,1.0,-87.8
220000,921.3,1.0,-29.65
230000,971.75,0.95,-38.05
240000,965.65,1.0,-38.85
250000,899.55,0.9,-181.55
