step,return_Ra,return_Rb,return_Rc
0,90.4,0.65,-370.2
10000,45.9,0.4,-368.0
20000,70.85,0.7,-369.05
30000,69.9,0.8,-312.0
40000,116.3,0.8,-402.7
50000,138.35,0.75,-343.9
60000,63.4,0.65,-197.25
70000,90.9,0.7,-308.15
80000,128.0,0.8,-395.2
90000,153.65,0.9,-185.65
100000,262.4,0.85,-440.5
110000,115.75,0.8,-321.7
120000,157.45,0.7,-155.0
130000,512.15,0.9,-124.65
140000,342.85,0.75,-227.7
150000,482.65,0.95,-29.3
160000,801.0,0.95,-32.75
170000,974.2,1.0,-77.4
180000,839.6,1.0,-21.55
190000,787.6,1.0,-22.15
200000,968.45,1.0,-22.3
210000,900.9,1.0,-67.95
220000,849.95,1.0,-17.15
230000,935.95,1.0,-68.4
240000,933.35,1.0,-22.7
250000,936.25,0.95,-17.35
