step,return_Ra,return_Rb,return_Rc
0,98.85,0.85,-302.85
10000,62.55,0.55,-436.5
20000,26.1,0.4,-625.45
30000,160.55,0.6,-325.55
40000,335.4,0.4,-660.05
50000,128.5,0.5,-718.0
60000,271.25,0.45,-560.15
70000,178.4,0.6,-533.6
80000,244.15,0.4,-672.5
90000,566.2,0.55,-393.8
100000,441.55,0.6,-376.8
110000,613.35,0.7,-220.05
120000,480.45,0.7,-421.35
130000,365.8,0.65,-139.8
140000,629.2,0.7,-128.15
150000,769.25,0.85,-173.0
160000,777.55,0.95,-123.35
170000,702.15,0.85,-182.0
180000,727.35,1.0,-121.15
190000,870.35,0.8,-79.2
200000,823.0,0.75,-81.7
210000,873.85,0.95,-28.45
220000,928.8,0.95,-75.6
230000,872.95,0.95,-26.5
240000,965.0,1.0,-32.4
250000,913.15,0.95,-26.3
