step,return_Ra,return_Rb,return_Rc
0,139.65,0.5,-516.25
10000,91.95,0.6,-468.75
20000,1.55,0.05,-874.1
30000,5.05,0.4,-900.65
40000,45.15,0.5,-659.5
50000,192.05,0.3,-853.05
60000,55.35,0.6,-807.75
70000,6.0,0.3,-652.8
80000,94.45,0.8,-256.0
90000,114.25,0.8,-269.4
100000,75.45,0.6,-425.9
110000,136.05,0.85,-480.65
120000,300.7,0.8,-288.7
130000,296.45,0.9,-184.55
140000,682.75,0.9,-218.95
150000,777.3,0.9,-31.8
160000,828.35,1.0,-69.0
170000,694.5,0.95,-18.6
180000,863.25,0.95,-19.35
190000,952.8,1.0,-18.5
200000,980.3,1.0,-15.9
210000,960.25,1.0,-17.35
220000,982.2,1.0,-21.05
230000,924.2,1.0,-17.8
240000,978.0,0.95,-14.4
250000,984.85,1.0,-19.8
