step,return_Ra,return_Rb,return_Rc
0,25.35,0.85,-291.2
10000,78.95,0.75,-210.4
20000,112.05,0.45,-626.0
30000,46.35,0.4,-524.45
40000,7.15,0.5,-786.15
50000,22.8,0.45,-543.2
60000,49.6,0.75,-572.0
70000,57.55,0.55,-253.1
80000,41.3,0.6,-338.45
90000,63.65,0.7,-385.65
100000,101.2,0.8,-146.0
110000,25.3,0.9,-272.9
120000,62.15,0.6,-318.7
130000,146.75,0.6,-444.2
140000,112.95,0.85,-335.4
150000,121.9,0.7,-407.7
160000,214.75,0.8,-133.75
170000,592.0,0.85,-128.95
180000,695.95,0.85,-133.15
190000,719.6,1.0,-137.15
200000,750.2,0.95,-22.05
210000,664.35,0.9,-122.1
220000,943.35,1.0,-17.3
230000,965.3,1.0,-69.65
240000,968.7,1.0,-21.9
250000,892.2,1.0,-21.25
