step,return_Ra,return_Rb,return_Rc
0,43.7,0.75,-173.3
10000,52.15,0.8,-295.15
20000,64.4,0.15,-900.15
30000,180.7,0.35,-804.5
40000,72.05,0.45,-558.3
50000,98.55,0.1,-752.85
60000,338.4,0.55,-608.5
70000,288.55,0.35,-361.7
80000,535.15,0.45,-365.85
90000,246.55,0.5,-368.0
100000,440.6,0.8,-378.05
110000,588.35,0.75,-281.75
120000,445.1,0.65,-473.25
130000,625.9,0.8,-272.0
140000,731.6,0.9,-230.35
150000,877.35,0.85,-265.95
160000,833.4,0.8,-177.85
170000,679.95,0.85,-218.5
180000,828.5,0.85,-171.45
190000,840.55,0.85,-221.2
200000,882.25,1.0,-26.4
210000,872.0,0.85,-79.85
220000,930.75,0.9,-67.1
230000,732.5,1.0,-171.6
240000,872.65,0.95,-77.85
250000,881.9,0.9,-170.5
