step,return_Ra,return_Rb,return_Rc
0,87.95,0.7,-183.75
10000,78.95,0.7,-295.1
20000,65.0,0.15,-723.9
30000,73.7,0.2,-573.45
40000,38.2,0.65,-562.45
50000,50.55,0.7,-346.45
60000,93.2,0.75,-384.0
70000,40.25,0.7,-353.2
80000,66.15,0.75,-434.05
90000,123.65,0.95,-253.6
100000,267.55,0.7,-211.25
110000,231.1,0.9,-199.35
120000,556.85,0.9,-39.2
130000,530.7,1.0,-26.45
140000,544.15,0.8,-74.65
150000,663.95,1.0,-24.15
160000,732.6,0.95,-32.6
170000,807.55,1.0,-22.4
180000,786.3,0.95,-16.0
190000,874.75,0.95,-24.5
200000,886.8,1.0,-21.0
210000,903.6,1.0,-20.05
220000,836.05,1.0,-28.55
230000,891.8,1.0,-32.55
240000,945.8,1.0,-67.7
250000,933.6,1.0,-13.75
