step,return_Ra,return_Rb,return_Rc
0,72.95,0.9,-241.5
10000,100.1,0.95,-165.45
20000,81.45,0.85,-271.75
30000,53.25,1.0,-218.55
40000,86.45,1.0,-199.55
50000,61.75,0.7,-270.9
60000,38.75,0.8,-293.85
70000,129.0,0.95,-212.95
80000,115.25,0.95,-216.75
90000,272.3,0.8,-205.65
100000,168.65,0.95,-309.15
110000,198.65,0.9,-95.15
120000,431.95,0.8,-30.95
130000,416.8,0.8,-79.35
140000,634.15,0.95,-24.2
150000,639.0,1.0,-77.05
160000,773.15,1.0,-26.45
170000,714.5,1.0,-22.15
180000,664.25,0.95,-67.4
190000,828.75,1.0,-22.9
200000,840.0,1.0,-19.85
210000,876.05,1.0,-20.3
220000,905.7,1.0,-22.8
230000,805.25,1.0,-17.5
240000,861.3,1.0,-18.45
250000,877.6,1.0,-20.1
