episode,mean,ci_lower,ci_upper
0,-1000.0,-1000.0,-1000.0
1,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0
9,-1000.0,-1000.0,-1000.0
10,-1000.0,-1000.0,-1000.0
11,-1000.0,-1000.0,-1000.0
12,-1000.0,-1000.0,-1000.0
13,-1000.0,-1000.0,-1000.0
14,-1000.0,-1000.0,-1000.0
15,-1000.0,-1000.0,-1000.0
16,-1000.0,-1000.0,-1000.0
17,-1000.0,-1000.0,-1000.0
18,-950.2,-1018.1421936989249,-882.2578063010752
19,-1000.0,-1000.0,-1000.0
20,-982.0,-1010.2457693823341,-953.7542306176659
21,-1000.0,-1000.0,-1000.0
22,-976.1333333333333,-1021.3258188234054,-930.9408478432613
23,-1000.0,-1000.0,-1000.0
24,-972.8,-1024.3042851395235,-921.2957148604766
25,-975.3333333333334,-1022.0406507392737,-928.626015927393
26,-952.9333333333333,-1002.6397531419716,-903.226913524695
27,-948.5333333333333,-1004.1313064847725,-892.9353601818941
28,-984.4666666666667,-1008.992258160119,-959.9410751732144
29,-971.4666666666667,-1011.1385242302866,-931.7948091030468
30,-921.2,-993.918835164855,-848.4811648351451
31,-904.4,-984.0110298377192,-824.7889701622807
32,-900.8,-975.602803626602,-825.9971963733979
33,-916.8666666666667,-1008.4843837202131,-825.2489496131202
34,-868.8,-982.1876817891216,-755.4123182108783
35,-840.1333333333333,-950.0854111930048,-730.1812554736618
36,-802.7333333333333,-904.4943096715333,-700.9723569951334
37,-772.6,-894.6210921687085,-650.5789078312915
38,-806.2,-930.5971646808007,-681.8028353191994
39,-810.5333333333333,-920.3129108466057,-700.7537558200609
40,-774.1333333333333,-897.6797365486315,-650.5869301180352
41,-673.2666666666667,-807.9444477772093,-538.588885556124
42,-726.4666666666667,-857.052015941441,-595.8813173918924
43,-718.0666666666667,-857.1518004979258,-578.9815328354076
44,-687.6,-820.8120616387437,-554.3879383612564
45,-733.1333333333333,-867.4728850235408,-598.7937816431258
46,-697.4,-838.4956551840709,-556.3043448159291
47,-748.3333333333334,-877.7617722438557,-618.904894422811
48,-681.8666666666667,-827.3562245290527,-536.3771088042806
49,-712.2,-852.6244458717925,-571.7755541282075
50,-676.0,-825.7734142140498,-526.2265857859502
51,-726.2666666666667,-862.5422236612818,-589.9911096720515
52,-710.6666666666666,-846.3680944120965,-574.9652389212367
53,-678.0666666666667,-822.2255176901638,-533.9078156431697
54,-706.5333333333333,-841.4206879696014,-571.6459786970652
55,-662.6,-805.1337730607498,-520.0662269392502
56,-676.6666666666666,-819.5642335681725,-533.7690997651607
57,-674.2,-820.3333845839327,-528.0666154160674
58,-704.0666666666667,-855.8895781259401,-552.2437552073933
59,-674.5333333333333,-830.5879448964131,-518.4787217702535
60,-632.3333333333334,-783.4987607113234,-481.1679059553434
61,-675.8666666666667,-836.3752158439381,-515.3581174893952
62,-646.0,-801.254875979969,-490.74512402003097
63,-674.3333333333334,-826.1661633088376,-522.5005033578292
64,-661.8,-820.975513971772,-502.624486028228
65,-602.1333333333333,-754.6008828712718,-449.66578379539493
66,-683.4,-856.8072996151609,-509.992700384839
67,-704.5333333333333,-840.4986231714768,-568.5680434951898
68,-595.4666666666667,-749.0671942984765,-441.86613903485693
69,-609.8666666666667,-774.34770202297,-445.3856313103634
70,-654.2,-814.5407466815594,-493.85925331844066
71,-598.5333333333333,-755.2353971185564,-441.83126954811013
72,-637.7333333333333,-800.2422712221404,-475.2243954445263
73,-595.6666666666666,-745.7628776208903,-445.570455712443
74,-630.3333333333334,-778.6404796859595,-482.0261869807073
75,-555.2,-717.8478496744833,-392.5521503255167
76,-535.6,-699.670282427447,-371.52971757255307
77,-576.0666666666667,-734.178567112639,-417.95476622069447
78,-571.2666666666667,-717.738284436016,-424.7950488973173
79,-591.9333333333333,-751.769964483091,-432.09670218357553
80,-572.9333333333333,-731.1444412435953,-414.7222254230712
81,-548.4,-714.5740766219435,-382.22592337805645
82,-600.0666666666667,-757.8067681598554,-442.326565173478
83,-566.0,-726.1044755346403,-405.8955244653597
84,-585.6,-739.3337397300209,-431.8662602699792
85,-565.0,-736.0943166222784,-393.90568337772163
86,-529.8666666666667,-688.1837574205407,-371.54957591279265
87,-545.7333333333333,-690.4280643975575,-401.0386022691092
88,-582.2,-736.9551481712681,-427.44485182873206
89,-501.46666666666664,-659.3175020380293,-343.61583129530396
90,-560.4,-709.6149028386761,-411.1850971613238
91,-573.7333333333333,-727.6640426150435,-419.8026240516232
92,-518.2666666666667,-674.2596250247403,-362.273708308593
93,-482.2,-624.2506174422812,-340.1493825577188
94,-548.2,-710.7686800919674,-385.63131990803265
95,-556.0,-699.7713404294781,-412.2286595705219
96,-490.8,-648.0598386173518,-333.5401613826482
97,-496.6,-634.0424275972388,-359.1575724027613
